id;start_date;end_date;language
1;2020-05-21T13:56:06;2020-05-21T11:46:21;SPANISH
2;2020-05-20T18:46:17;2020-05-21T13:50:42;SPANISH
3;2020-05-21T09:41:36;2020-05-20T20:15:45;FRENCH
4;2020-05-21T00:59:07;2020-05-21T12:30:33;FRENCH
5;2020-05-21T10:29:25;2020-05-21T15:16:24;FRENCH
6;2020-05-21T04:21:46;2020-05-21T16:30:00;FRENCH
7;2020-05-21T06:07:06;2020-05-20T23:57:57;FRENCH
8;2020-05-21T05:03:19;2020-05-21T15:19:27;SPANISH
9;2020-05-21T03:44:28;2020-05-21T00:25:51;SPANISH
10;2020-05-21T11:56:32;2020-05-20T22:31:02;SPANISH
